pts,elo_i,win_equiv,game_result
46,1282.9152,37.327347,L
66,1306.6039,42.861538,W
46,1311.4692,41.03297,L
66,1294.7595,41.06625,W
54,1234.6626,33.612003,L
68,1271.4497,36.858685,L
78,1353.6788,47.729919,W
60,1342.2628,44.796066,L
67,1327.9469,44.548813,W
60,1300.3143,40.639599,L
62,1264.8934,37.717899,W
75,1364.744,48.210819,W
67,1310.8802,41.646015,L
55,1268.6437,37.197369,L
59,1228.7905,34.120571,W
75,1336.293,45.532764,W
72,1306.1592,40.901672,L
55,1300.6316,39.368336,L
68,1317.7588,44.552662,W
58,1281.3928,38.453075,L
60,1333.9167,45.141937,W
72,1260.3845,35.126602,L
87,1296.5641,42.397633,W
64,1339.6215,45.480927,W
60,1284.4366,39.026222,L
65,1243.6194,34.367218,L
79,1275.6881,39.228394,W
60,1343.3895,45.902576,W
57,1333.9537,44.180416,L
49,1369.4651,48.608025,W
40,1263.6439,36.790672,L
56,1233.7903,33.601101,L
66,1299.0626,41.437378,W
47,1330.3809,43.818432,L
49,1313.3292,42.761024,W
44,1259.7294,36.030174,L
46,1228.6831,34.348637,W
68,1283.1002,38.589825,L
76,1281.1688,39.665409,W
57,1326.9114,43.023754,L
70,1342.8893,46.267113,W
57,1304.1698,42.803276,W
46,1252.3871,34.689129,L
80,1373.3796,49.256763,W
62,1276.9966,37.91888,L
61,1236.0254,33.664444,L
65,1319.3087,43.726086,W
61,1317.2023,41.657539,L
65,1236.2073,35.488831,W
51,1350.4919,45.277073,L
62,1287.2725,40.668636,W
55,1239.3546,34.240528,L
66,1346.9624,46.355671,W
65,1229.3071,31.817047,L
90,1340.9235,47.171368,W
86,1306.269,42.321953,W
78,1316.7987,42.097031,L
59,1270.5713,36.413086,L
68,1247.1405,36.987415,W
47,1351.3506,44.61631,L
57,1296.8409,42.428764,W
64,1326.027,43.127346,L
75,1379.8049,49.831516,W
66,1313.6263,41.880951,L
72,1310.4608,42.644665,W
44,1210.9467,31.329351,L
62,1359.2839,47.673653,W
58,1234.9664,33.267609,L
66,1320.2988,44.127514,W
62,1334.5652,45.168663,W
61,1315.6875,42.087906,L
85,1308.3997,43.347172,W
73,1261.624,35.538528,L
79,1310.3738,41.41428,L
88,1312.6069,42.994705,W
68,1256.0878,35.859612,L
83,1364.1929,48.21891,W
66,1329.8735,43.402786,L
81,1385.5331,50.523075,W
66,1322.9327,42.4669,L
73,1206.0377,32.21983,W
64,1392.4739,51.995701,W
49,1322.4008,41.778427,L
88,1319.0311,45.516144,W
68,1339.8789,42.643974,L
62,1225.3917,34.835339,W
52,1247.6229,33.961941,L
77,1214.9801,33.359005,W
65,1307.4219,40.591675,L
81,1250.736,37.071869,W
66,1313.9904,41.240162,L
52,1303.9496,40.715103,L
72,1407.4528,52.64159,W
84,1343.2291,45.928326,W
75,1240.7815,34.427696,L
52,1369.5447,46.817009,L
70,1297.2839,42.153202,W
46,1315.6809,41.491138,L
50,1232.2332,35.086777,W
55,1236.7992,33.172958,L
66,1304.6824,42.784809,W
78,1310.9967,42.869217,W
62,1243.2317,34.38652,L
49,1302.2896,40.58786,L
57,1296.1072,41.243977,W
56,1317.8322,43.774361,W
53,1355.8319,45.924538,L
68,1414.1184,53.32502,W
47,1317.0259,42.038425,L
74,1226.2948,32.841187,L
76,1309.9017,42.575665,W
58,1302.3259,42.242256,W
44,1326.4893,42.778828,L
81,1262.4368,37.693691,W
77,1347.2114,45.309582,L
70,1347.1748,45.243252,L
74,1236.3962,35.060261,W
63,1268.4114,38.147316,W
61,1340.5975,44.791435,L
68,1421.2426,53.76189,W
56,1311.8464,41.760559,L
95,1341.2368,45.623631,W
92,1296.0708,40.2701,L
78,1224.4557,34.315006,W
74,1316.9688,41.600842,L
53,1221.1678,32.341621,L
65,1315.0287,43.096119,W
54,1216.1962,31.708786,L
64,1235.696,34.963692,W
53,1307.2515,42.194717,W
46,1242.0328,34.539375,L
66,1272.7605,37.160595,L
78,1425.8375,54.652142,W
51,1293.0409,39.878838,L
55,1320.0004,43.486359,W
60,1209.8594,31.157423,L
63,1311.3928,42.777065,W
80,1242.9735,34.135567,L
88,1344.2667,46.556828,W
68,1204.3003,30.576017,L
80,1263.2903,37.775234,W
70,1435.3077,55.306007,W
49,1336.2484,44.056713,L
87,1353.3029,47.674263,W
79,1305.7284,40.457973,L
48,1289.309,38.805237,L
52,1233.9374,35.185211,W
68,1316.9519,42.207104,L
75,1323.7323,44.05447,W
70,1442.3615,55.824432,W
60,1198.3969,30.023127,L
62,1311.511,42.763363,W
60,1237.8915,33.997398,L
59,1294.8324,39.180237,L
68,1329.1732,45.322914,W
86,1244.1897,36.335934,W
76,1364.1989,46.530354,L
103,1341.3654,47.142483,W
90,1353.0458,44.704113,L
62,1279.0566,39.7379,W
57,1448.0177,55.005615,L
61,1282.6403,40.708916,W
48,1232.5814,32.52224,L
72,1269.1937,37.126305,L
84,1316.821,43.415497,W
66,1359.0022,48.065411,W
57,1439.1101,54.162121,L
58,1192.7406,31.163542,W
53,1255.3428,35.137066,L
50,1287.9642,38.246239,L
62,1329.1947,45.539127,W
74,1323.0543,42.847687,L
78,1262.9604,37.691284,W
64,1297.225,40.237164,L
78,1430.0768,54.583755,W
57,1368.0355,47.329033,L
59,1343.4509,46.284832,W
64,1292.7268,41.441986,W
53,1204.3622,30.03624,L
63,1434.575,55.321884,W
49,1217.9967,31.726547,L
61,1273.708,37.181744,L
76,1243.7212,36.190292,W
80,1263.4937,36.540066,L
83,1335.4089,45.346149,W
76,1253.9355,38.478409,W
63,1350.6637,44.001839,L
63,1317.6265,42.166595,L
67,1210.0378,32.376064,W
77,1442.5338,55.555973,W
69,1268.3883,37.425938,L
74,1311.1245,43.106861,W
55,1275.9305,37.541653,L
91,1265.8407,38.907825,W
68,1304.2137,39.953064,L
84,1360.8228,47.678539,W
81,1341.5894,44.991329,L
62,1328.6687,43.251884,L
66,1192.8752,30.738827,W
58,1257.3132,36.975025,W
56,1320.103,42.668125,L
73,1200.0544,31.427176,W
72,1280.0374,38.179325,L
66,1266.952,37.156956,L
81,1445.0814,55.893726,W
75,1338.1714,45.341274,W
72,1315.9115,42.314995,L
59,1216.5398,31.979664,L
72,1364.2407,48.082481,W
53,1321.4895,43.817055,W
50,1212.5773,31.44145,L
74,1290.0171,38.985138,L
78,1273.0671,39.145454,W
74,1263.2552,34.464828,L
104,1312.5405,45.039314,W
59,1341.5424,44.402454,L
68,1261.5048,37.915173,W
63,1326.8982,43.352123,L
65,1448.7782,56.297237,W
65,1207.1686,32.498772,W
53,1282.308,38.038055,L
38,1453.2283,54.886154,L
47,1207.0247,32.968487,W
78,1338.6333,43.898621,L
84,1332.5114,45.540592,W
63,1280.7762,40.14846,W
59,1368.2032,46.947147,L
64,1237.1625,33.139439,L
74,1270.5358,39.278023,W
45,1322.4481,41.029667,L
58,1222.4307,35.226974,W
72,1343.4651,44.945156,L
87,1437.8223,55.416332,W
72,1300.2828,40.419373,L
79,1291.8809,40.758675,W
69,1357.0986,47.589146,W
53,1271.7136,37.384922,L
54,1244.5959,33.108879,L
81,1337.7271,47.091125,W
57,1283.5742,38.631592,L
62,1217.7629,33.120953,W
43,1223.8215,32.533714,L
59,1327.6796,44.49398,W
72,1224.124,33.609535,W
71,1363.3656,47.113892,L
61,1297.6993,42.523842,W
47,1277.3961,36.877064,L
74,1294.4644,41.368301,W
64,1358.5015,46.160061,L
55,1333.3901,44.295994,L
57,1443.5603,55.59074,W
48,1218.111,33.01823,W
43,1223.941,32.635933,L
97,1349.4546,46.943314,W
76,1265.4467,36.594673,L
83,1331.4896,44.748634,W
78,1314.5339,42.068291,L
96,1257.84,37.334309,W
93,1228.7662,32.889355,L
61,1335.8369,45.625641,W
55,1260.5615,36.001778,L
46,1303.5112,39.96769,L
52,1222.9237,34.374474,W
84,1445.4608,55.826168,W
71,1219.1283,32.377327,L
57,1344.2861,45.120808,L
63,1357.0613,47.442303,W
71,1358.7234,47.402672,W
66,1252.1123,35.710762,L
57,1236.2783,33.21294,L
80,1448.0367,56.856892,W
63,1264.9603,36.562145,L
71,1216.5524,33.125542,W
82,1221.6459,32.080246,L
88,1310.1866,42.912762,W
80,1318.2482,43.351933,W
70,1213.5844,31.661716,L
83,1257.5262,38.027992,W
73,1249.2936,34.264633,L
60,1223.9865,32.812954,L
64,1290.1566,40.292603,W
57,1224.8512,32.977142,L
69,1459.4639,57.064678,W
51,1220.8876,31.91988,L
66,1222.5165,33.879787,W
65,1339.418,45.591442,W
58,1293.2555,39.816849,L
81,1271.6172,40.063183,W
70,1361.5421,45.398254,L
83,1209.3862,33.23254,W
74,1461.7986,55.652905,L
63,1288.7175,38.704613,L
71,1343.9559,46.688171,W
89,1291.0675,40.741261,W
73,1211.9781,31.277323,L
48,1322.4463,42.23333,L
70,1342.0918,46.502655,W
90,1361.9294,47.913052,W
75,1225.045,32.76738,L
81,1311.7612,40.419334,L
107,1446.1398,57.209919,W
63,1278.0945,38.300381,L
65,1235.2026,34.660057,W
55,1231.4259,33.161163,L
61,1354.579,47.415337,W
63,1352.7769,45.645096,L
68,1205.5123,32.103313,W
68,1297.5333,40.304623,L
75,1361.6659,47.840622,W
67,1463.437,58.09631,W
46,1239.0707,33.628197,L
46,1274.2264,36.084171,L
71,1344.474,47.836739,W
55,1213.8152,31.344166,L
58,1220.4349,33.538177,W
49,1224.339,33.469673,W
48,1252.9094,35.769321,L
109,1366.5396,48.485294,W
85,1206.1873,30.788378,L
79,1365.8291,48.368782,W
61,1228.0629,33.012997,L
65,1293.3701,39.254604,L
73,1365.791,48.853951,W
64,1228.9501,34.089252,W
58,1200.5582,30.343691,L
69,1249.8612,36.872917,W
46,1222.8718,31.943153,L
67,1283.3506,40.228844,W
58,1371.0201,47.421207,L
68,1473.5576,58.581848,W
65,1375.8105,48.282803,L
67,1479.1947,57.221542,L
85,1372.1686,50.05748,W
74,1233.483,35.274361,W
69,1294.464,39.206409,L
75,1196.0253,31.618896,W
69,1463.5684,56.062782,L
85,1282.8903,39.915867,W
76,1292.6475,39.519047,L
75,1361.7233,48.412254,W
59,1370.1735,47.29068,L
84,1245.0568,36.617279,W
64,1285.8755,38.159191,L
72,1450.6381,55.281284,L
76,1260.5216,37.761974,W
101,1387.7949,51.202351,W
82,1208.9556,30.478565,L
64,1227.3872,34.658756,W
54,1360.4482,46.090141,L
81,1399.3475,51.374069,W
79,1272.8743,37.976868,L
61,1371.4485,48.974979,W
48,1289.6622,39.333256,L
73,1197.403,29.808599,L
84,1212.2114,32.6311,W
90,1284.1017,40.411346,W
84,1269.0665,36.692204,L
72,1190.5342,29.350229,L
82,1271.1272,38.471519,W
70,1442.0931,55.750282,W
60,1377.009,48.457764,L
84,1401.0946,51.62109,W
77,1239.058,34.40099,L
71,1371.8971,47.866825,L
75,1294.3878,41.020859,W
66,1258.7804,38.003971,W
58,1258.058,35.314957,L
80,1348.7775,46.605537,W
64,1219.0802,32.129955,L
59,1245.4514,34.758629,L
63,1185.7968,29.874733,W
73,1236.5378,33.844212,L
84,1300.1989,41.593723,W
57,1353.776,45.526833,L
65,1214.0817,33.18,W
51,1240.0331,33.63216,L
57,1231.0762,34.972649,W
69,1275.8646,39.680504,W
62,1271.387,36.801647,L
69,1447.2051,55.953224,W
59,1224.5254,32.955151,L
76,1228.9891,34.679443,W
74,1403.6147,50.609367,L
78,1366.0861,48.197926,W
66,1191.2151,29.559429,L
74,1287.4165,38.934696,L
82,1449.432,56.5966,W
77,1259.8351,37.832859,W
49,1187.9629,28.607658,L
65,1343.3323,46.126762,W
60,1393.3439,50.032448,L
67,1222.2985,33.523418,W
61,1242.1201,34.397247,L
77,1305.6605,40.885181,L
85,1280.2942,39.642029,W
61,1178.0515,28.267673,L
93,1456.5543,56.916397,W
55,1236.5012,32.99292,L
67,1287.0493,41.092064,W
82,1387.5441,50.516582,W
68,1269.7465,37.326168,L
91,1460.1313,57.548424,W
83,1298.9054,40.135765,L
52,1227.9174,32.899826,L
61,1239.26,35.312508,W
71,1349.1321,46.654736,W
66,1369.3383,47.676044,L
67,1174.4745,27.949219,L
69,1364.2163,48.019581,W
59,1222.6729,32.637344,L
83,1467.277,57.857296,W
96,1354.254,48.565201,W
76,1291.7598,38.178257,L
60,1300.8777,39.340672,L
83,1221.7498,34.597027,W
72,1392.4084,51.038528,W
68,1245.4276,34.770775,L
84,1470.8075,58.897514,W
60,1264.8821,36.072067,L
75,1367.5853,48.738445,W
65,1372.9569,47.845215,L
74,1273.0569,39.939014,W
53,1171.1055,26.385456,L
65,1284.1725,37.897182,L
73,1252.7924,37.505154,W
62,1289.8831,39.150208,L
69,1219.1423,33.397205,W
77,1238.455,35.657406,W
69,1374.6681,47.689369,L
48,1248.7762,34.805679,L
63,1266.6016,38.369232,W
80,1270.3633,38.366364,W
74,1240.1516,34.310993,L
52,1226.672,33.073006,L
75,1482.8972,59.168724,W
86,1365.8741,47.15868,L
98,1397.6844,51.697739,W
69,1364.3468,47.154663,L
72,1282.3534,39.697556,W
66,1240.4922,34.405716,L
76,1359.121,47.554749,W
66,1154.2793,26.115198,L
69,1404.3984,51.986465,W
70,1274.8582,38.177185,L
71,1359.1602,47.34428,W
82,1287.5792,40.203819,W
76,1273.0466,37.673439,L
60,1151.3198,25.581114,L
63,1236.5841,35.009712,W
67,1235.6567,33.882629,L
99,1486.1029,59.52132,W
74,1223.4663,33.753746,W
65,1231.4539,33.20108,L
71,1145.4227,25.518646,L
72,1407.3579,52.054012,W
59,1363.0291,46.68317,L
61,1274.8856,39.258133,W
86,1490.3058,60.14399,W
70,1242.4812,34.239609,L
67,1230.1863,34.088467,W
65,1234.9574,33.904453,L
81,1268.217,36.981747,L
107,1408.052,52.697613,W
64,1283.3843,39.555683,W
61,1224.7339,32.914261,L
73,1360.9717,47.202488,L
74,1497.8296,60.257336,W
107,1414.6996,54.559597,W
78,1292.4088,38.150616,L
87,1261.5695,38.93346,W
70,1233.4753,32.198051,L
78,1272.7921,38.440216,W
72,1144.7286,25.269918,L
77,1354.5304,46.198101,L
80,1499.2137,60.639996,W
71,1359.5875,46.170544,L
79,1231.6683,34.929512,W
57,1241.6997,34.038456,L
69,1214.7625,33.074154,W
89,1275.5651,39.557617,W
81,1221.8929,31.843723,L
69,1434.3163,53.014263,L
86,1503.921,61.932667,W
74,1349.5562,45.602024,L
78,1286.2252,40.131939,W
81,1349.8231,46.891933,W
57,1223.4777,32.396114,L
71,1280.2823,39.40596,W
64,1232.9845,33.579575,L
67,1356.561,46.60368,L
70,1417.9938,53.282478,W
56,1344.0581,45.040863,L
60,1284.7959,39.972847,W
78,1520.2435,62.148693,W
63,1291.7233,39.838852,L
81,1288.9275,41.523502,W
69,1286.2437,37.878086,L
61,1211.2144,31.191736,L
67,1353.7579,47.278049,W
67,1270.1802,39.075268,W
58,1216.7397,31.25457,L
59,1204.6473,30.35058,L
68,1338.6482,45.927124,W
70,1141.9557,26.497683,W
64,1228.4709,32.214127,L
57,1420.7969,51.635914,L
65,1304.991,43.307526,W
79,1347.1998,47.291252,W
54,1155.5035,25.296209,L
96,1523.0393,62.211693,W
95,1290.2058,39.886974,L
75,1196.0957,30.210793,L
77,1360.325,47.424496,W
73,1281.6375,38.69865,L
76,1289.3866,40.2644,W
49,1322.0216,43.024773,L
51,1360.4539,47.567825,W
83,1214.9231,31.234783,L
99,1403.7662,52.592236,W
58,1413.6068,50.727184,L
67,1278.0375,40.696972,W
85,1194.6653,31.052874,W
65,1142.2495,24.535057,L
82,1292.9866,38.281574,L
103,1361.7554,49.346355,W
63,1523.8585,60.967865,L
68,1319.3185,44.680195,W
69,1297.1111,41.04351,W
63,1203.2419,30.727402,L
40,1205.0825,30.740387,L
60,1363.157,48.079014,W
80,1394.5332,51.485184,W
69,1205.2825,30.496748,L
65,1335.1791,45.564407,W
51,1133.6729,23.792454,L
72,1300.4148,41.432384,W
64,1197.5885,30.134272,L
63,1199.9382,30.253637,L
67,1368.1692,48.569912,W
91,1343.6949,45.98378,W
84,1274.0464,37.858612,L
61,1125.157,22.626535,L
74,1193.8811,31.481926,W
77,1402.2272,50.660587,L
105,1507.9979,61.630302,W
73,1393.8607,50.070011,L
80,1380.6956,49.941746,W
71,1200.0703,31.955053,W
61,1347.7479,44.712292,L
66,1195.104,30.647135,W
63,1212.3307,31.555082,L
79,1387.9205,49.394386,L
83,1269.9934,38.563068,W
59,1373.0034,48.758224,W
55,1207.5765,31.297518,L
79,1516.3644,61.81469,W
69,1304.1222,41.184746,L
66,1301.7612,39.862038,L
71,1205.7163,32.555599,W
72,1335.4875,44.365433,L
76,1386.6357,50.273964,W
66,1374.8636,48.20536,L
73,1381.1733,49.940735,W
77,1289.1487,41.518227,W
51,1332.156,42.715511,L
68,1369.4114,47.76981,L
73,1389.9673,50.698528,W
65,1518.7253,59.611252,L
81,1386.6256,52.626957,W
69,1413.9667,54.908096,W
53,1491.3843,57.549774,L
86,1316.364,43.486576,W
74,1304.9407,40.74514,L
51,1394.2438,49.377796,L
73,1365.1349,49.112282,W
75,1381.0083,51.307644,W
59,1378.3704,47.138187,L
67,1438.0586,55.718647,W
55,1467.2924,56.77013,L
93,1323.7344,44.568398,W
71,1297.5703,39.657799,L
69,1446.8588,55.229828,L
76,1458.4922,57.243427,W
67,1463.8158,58.561203,W
55,1441.5352,53.814899,L
70,1334.1049,43.974545,L
82,1400.4183,51.865456,W
66,1426.3973,54.366898,W
61,1478.9536,58.056091,L
72,1406.1161,53.515533,W
53,1328.4071,42.182987,L
84,1423.2423,54.318321,W
71,1432.2572,53.564781,L
85,1431.7393,54.978973,W
74,1423.7603,52.887863,L
72,1416.6769,52.185097,L
75,1438.8226,55.649139,W
73,1446.0986,55.359722,L
74,1409.4009,52.490616,W
80,1412.5547,52.176041,L
83,1442.9448,55.657673,W
63,1481.0703,50.173782,W
55,1419,42.867378,L
85,1414.4618,43.288319,W
74,1289.9966,29.691414,L
80,1433.2307,45.430969,W
70,1395.4702,40.26572,L
65,1485.6085,48.690075,L
80,1359.7107,38.677448,W
64,1333.8054,33.969322,L
79,1460.8939,48.173626,W
79,1465.7465,48.693275,W
74,1285.9733,29.196787,L
69,1470.8373,47.822197,L
73,1280.8508,30.023579,W
67,1418.4851,44.263027,W
63,1439.0546,44.460838,L
73,1374.4819,39.253723,W
67,1389.6464,39.688381,L
80,1470.8689,49.108761,W
78,1328.9529,33.551266,L
50,1289.3925,28.700087,L
65,1384.1389,41.127598,W
87,1379.9894,41.122463,W
69,1324.8391,31.759272,L
63,1397.8147,39.107159,L
81,1429.7191,46.453232,W
67,1474.9827,48.509514,L
74,1462.2957,48.425232,W
56,1378.5894,38.460194,L
68,1427.8206,44.906929,W
81,1448.9443,46.924896,W
77,1468.2236,47.959106,L
67,1275.6677,30.921711,W
57,1469.0547,46.166374,L
73,1397.8636,41.479424,W
67,1307.0138,31.425953,L
73,1298.5594,29.720997,L
89,1434.0065,46.179226,W
72,1453.5292,46.529236,L
75,1446.2875,46.575817,W
62,1303.6595,31.028233,L
65,1286.2784,30.111858,W
83,1446.163,46.962265,W
78,1372.4034,37.653545,L
62,1463.6388,47.155273,L
70,1401.2179,42.303967,W
91,1364.6733,39.263515,W
75,1290.2985,28.62579,L
63,1380.0829,38.338261,L
65,1274.8889,29.47488,W
83,1455.7742,48.024403,W
64,1409.0825,41.412182,L
59,1453.8931,43.812302,L
81,1371.2363,41.522594,W
61,1299.6395,29.943186,L
76,1450.1345,47.711178,W
92,1283.7355,30.719925,W
83,1464.2799,46.716949,L
75,1449.6821,46.914452,W
71,1423.4999,43.421032,L
67,1400.5768,40.649944,L
71,1461.2076,48.45068,W
78,1451.506,44.91066,L
85,1288.5664,31.661377,W
70,1434.0424,46.096333,W
62,1401.6295,40.322441,L
69,1296.5094,30.051352,L
77,1468.4745,49.141373,W
66,1306.03,29.97328,L
86,1393.3099,42.448742,W
81,1453.4275,47.513107,W
73,1445.4846,45.491982,L
58,1419.7545,41.773117,L
73,1475.3063,50.713516,W
65,1410.4642,44.76862,W
51,1491.0424,48.486767,L
73,1289.6776,30.461714,W
69,1288.8757,29.565723,L
73,1459.2689,48.156719,W
65,1468.8303,47.844978,L
85,1284.6752,27.575239,L
114,1390.1873,42.51429,W
71,1411.09,43.545662,W
56,1432.6763,43.74123,L
74,1263.7725,27.37635,L
78,1404.0184,41.996185,W
75,1293.8782,29.90456,L
79,1420.947,44.141617,W
71,1439.6432,46.234356,W
69,1462.519,47.110809,L
69,1406.146,41.019337,L
74,1422.8192,44.712177,W
69,1288.1692,30.390999,W
67,1396.8315,40.496265,L
85,1432.1337,46.356575,W
75,1465.5802,46.531826,L
80,1426.656,46.157188,W
66,1455.3406,45.106003,L
72,1261.6449,27.03084,L
88,1446.8217,46.617161,W
71,1446.074,45.221779,L
74,1391.8447,41.444073,W
67,1293.156,30.615984,W
66,1257.9304,26.818451,L
64,1435.9226,44.7925,L
66,1450.5361,46.92733,W
67,1448.0066,45.737774,L
74,1432.9059,45.414528,W
70,1453.5529,48.015343,W
64,1449.7073,45.432487,L
99,1437.0378,47.88773,W
71,1400.8809,38.729568,L
78,1295.4513,31.672146,W
70,1442.0165,44.628494,L
58,1306.1383,31.316317,L
70,1462.9384,48.25259,W
80,1374.9803,39.482269,W
74,1255.6351,26.15864,L
55,1431.3295,45.515171,W
52,1464.1909,47.142895,L
83,1438.896,44.696632,L
93,1439.0692,46.147583,W
75,1302.5533,30.558941,L
83,1445.981,46.938774,W
58,1466.5233,46.892597,L
66,1248.4438,27.386387,W
70,1453.6643,45.83292,L
87,1431.9843,45.809795,W
75,1261.7524,27.080833,L
89,1453.2147,47.22945,W
73,1455.6534,49.119884,W
56,1439.8669,43.49136,L
61,1258.4694,26.377531,L
89,1382.1716,40.281937,W
74,1294.87,31.14975,W
63,1250.84,25.831257,L
79,1442.936,47.283215,W
70,1456.4978,45.778625,L
70,1389.801,40.055992,L
72,1475.093,49.336819,W
63,1442.7125,45.328701,L
67,1420.4274,43.976337,W
64,1387.6461,39.284721,L
70,1300.8699,31.88051,W
85,1457.0226,48.033352,W
73,1244.8401,25.170906,L
60,1438.0684,43.351292,L
72,1380.2854,41.274731,W
58,1425.0715,44.387573,W
48,1308.2306,31.488142,L
60,1477.2479,48.431759,L
69,1399.2664,42.214241,W
79,1419.0874,44.861206,W
70,1442.4113,44.274647,L
76,1237.4949,24.877285,L
79,1464.3678,48.368855,W
95,1468.288,49.165245,W
60,1304.2864,30.771229,L
80,1429.0157,45.19952,W
66,1408.2263,41.395599,L
64,1234.1946,24.548496,L
82,1433.5667,45.247787,W
74,1427.932,43.37022,L
79,1467.6681,49.244637,W
78,1437.2885,45.70433,W
75,1476.3317,48.800278,L
76,1436.8234,45.655575,W
73,1475.5432,48.72113,L
60,1400.4187,39.69511,L
77,1471.9268,50.425892,W
70,1230.4728,25.508337,W
57,1297.0311,29.717529,L
106,1471.1442,49.096939,W
99,1384.2031,39.305302,L
56,1474.8654,46.24147,L
84,1286.2427,32.479424,W
99,1488.1423,51.012489,W
86,1419.2684,42.750263,L
54,1441.6934,44.77116,L
69,1441.2224,46.584114,W
67,1494.0676,50.279564,L
75,1446.8906,47.002754,W
78,1241.2612,24.500265,L
98,1432.7007,45.946812,W
59,1413.3431,43.771248,W
55,1450.2151,45.575737,L
75,1314.2174,34.145,W
61,1486.6708,48.626678,L
63,1444.0375,45.069164,L
72,1380.4819,40.192863,W
79,1388.9515,40.995827,W
77,1435.5679,44.27256,L
62,1423.1067,42.920708,L
78,1454.2875,47.835171,W
72,1470.2111,49.261505,W
48,1330.6771,33.505608,L
61,1229.9244,24.304182,L
70,1440.4515,45.807182,W
63,1396.6074,42.185417,W
57,1414.9713,41.732117,L
59,1442.6873,44.355068,L
82,1407.9513,43.648861,W
74,1428.7037,43.853298,L
81,1462.4229,48.324783,W
68,1427.912,43.450966,L
71,1423.8926,44.673679,W
50,1476.4993,47.34103,L
56,1227.6887,25.990934,W
54,1421.9348,42.065155,L
61,1324.3889,35.049892,W
74,1403.6274,43.404011,W
58,1339.5198,33.421146,L
58,1419.5917,41.531979,L
72,1420.0409,45.312645,W
60,1246.6008,25.799383,L
69,1467.234,48.539135,W
72,1431.7637,45.302387,W
54,1323.5555,32.809906,L
68,1317.5045,31.796181,L
77,1406.804,43.125046,W
74,1437.9136,44.911953,L
78,1457.5872,47.7355,W
94,1437.8147,46.963505,W
61,1244.4879,24.366243,L
73,1228.3975,24.247076,L
75,1401.719,41.674793,W
60,1416.9241,41.951996,L
66,1403.0808,42.848389,W
60,1461.4459,47.395237,L
62,1453.9052,47.304905,W
71,1469.3469,47.065742,L
95,1434.0548,46.40749,W
79,1227.0356,25.840982,W
69,1307.3844,30.031378,L
64,1289.4725,29.859955,L
66,1414.2804,43.032833,W
62,1244.9475,25.383757,L
68,1448.5005,46.929508,W
66,1405.7245,43.251694,W
